package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
sqlite-libs-3.26.0-17.el8_7,i686,109156,,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
sqlite-libs-3.26.0-17.el8_7,x86_64,109155,,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
bpftool-4.18.0-425.10.1.el8_7,x86_64,109466,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-4.18.0-425.10.1.el8_7,x86_64,109356,"CVE-2022-2964, CVE-2022-4139",RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-abi-stablelists-4.18.0-425.10.1.el8_7,noarch,109375,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-core-4.18.0-425.10.1.el8_7,x86_64,109374,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-cross-headers-4.18.0-425.10.1.el8_7,x86_64,109372,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-debug-4.18.0-425.10.1.el8_7,x86_64,109367,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-debug-core-4.18.0-425.10.1.el8_7,x86_64,109371,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-debug-devel-4.18.0-425.10.1.el8_7,x86_64,109370,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
